date,open,high,low,close
2025-01-24,2754.3,2785.7,2753.83,2770.5
2025-01-26,2766.82,2769.1,2762.83,2767.25
2025-01-27,2767.28,2772.51,2730.22,2741.59
2025-01-28,2741.58,2765.23,2734.72,2762.55
2025-01-29,2762.58,2766.07,2744.52,2760.14
2025-01-30,2760.29,2798.25,2758.2,2796.12
2025-01-31,2796.24,2817.13,2790.81,2799.05
2025-02-02,2800.95,2803.31,2781.6,2792.5
2025-02-03,2792.64,2830.33,2772.0,2813.77
2025-02-04,2813.67,2845.26,2807.14,2841.01
2025-02-05,2841.06,2882.31,2839.67,2868.99
2025-02-06,2869.32,2873.05,2834.09,2857.79
2025-02-07,2857.97,2886.66,2852.46,2860.48
2025-02-09,2858.38,2870.93,2855.94,2867.45
2025-02-10,2867.62,2921.4,2865.4,2917.71
2025-02-11,2917.73,2942.68,2881.58,2898.41
2025-02-12,2898.58,2909.06,2862.55,2905.75
2025-02-13,2905.86,2932.15,2901.45,2931.07
2025-02-14,2931.14,2939.85,2876.8,2882.38
2025-02-16,2884.8,2893.69,2877.23,2879.17
2025-02-17,2879.18,2906.28,2879.09,2899.14
2025-02-18,2899.1,2936.91,2891.99,2933.8
2025-02-19,2933.74,2946.97,2918.5,2935.73
2025-02-20,2935.68,2954.85,2924.01,2941.4
2025-02-21,2941.3,2949.54,2916.69,2935.45
2025-02-23,2939.73,2940.33,2936.1,2936.68
2025-02-24,2936.58,2956.1,2921.13,2949.83
2025-02-25,2949.88,2952.37,2887.43,2918.25
2025-02-26,2918.04,2929.92,2890.72,2919.1
2025-02-27,2919.0,2919.14,2867.55,2875.77
2025-02-28,2875.79,2884.94,2832.36,2857.35
2025-03-02,2862.5,2876.8,2862.15,2870.98
2025-03-03,2870.93,2895.12,2858.75,2890.82
2025-03-04,2890.77,2927.79,2881.78,2914.2
2025-03-05,2914.25,2929.91,2894.23,2917.97
2025-03-06,2917.94,2926.49,2890.93,2910.15
2025-03-07,2910.1,2930.21,2895.44,2909.65
2025-03-09,2911.05,2916.93,2909.5,2916.05
2025-03-10,2916.0,2918.15,2879.98,2884.35
2025-03-11,2884.5,2922.1,2880.15,2915.35
2025-03-12,2915.4,2940.48,2905.69,2938.0
2025-03-13,2938.06,2989.57,2932.68,2986.3
2025-03-14,2986.15,3004.7,2978.25,2984.5
2025-03-16,2987.05,2993.94,2985.45,2989.82
2025-03-17,2989.81,3002.83,2982.05,2999.58
2025-03-18,2999.52,3038.25,2999.16,3031.45
2025-03-19,3031.5,3052.09,3022.55,3049.93
2025-03-20,3049.98,3057.29,3025.37,3046.3
2025-03-21,3046.5,3047.36,2999.33,3023.75
2025-03-23,3023.4,3026.1,3022.15,3024.65
2025-03-24,3024.45,3033.01,3002.2,3009.7
2025-03-25,3009.93,3036.05,3007.44,3020.82
2025-03-26,3020.77,3032.06,3012.14,3021.35
2025-03-27,3021.3,3059.5,3016.5,3055.45
2025-03-28,3055.3,3086.8,3054.73,3085.0
2025-03-30,3090.63,3097.63,3087.74,3089.8
2025-03-31,3090.01,3127.86,3076.59,3122.65
2025-04-01,3122.7,3149.07,3100.6,3111.15
2025-04-02,3111.28,3147.68,3104.0,3145.91
2025-04-03,3145.98,3167.64,3054.05,3115.26
2025-04-04,3115.27,3136.5,3015.54,3038.18
2025-04-06,3029.0,3032.2,2982.15,3009.59
2025-04-07,3009.69,3055.37,2956.4,2986.55
2025-04-08,2986.45,3022.53,2974.52,2981.73
2025-04-09,2982.23,3099.68,2969.85,3079.93
2025-04-10,3079.75,3190.17,3078.0,3188.69
2025-04-11,3188.75,3245.36,3182.98,3237.2
2025-04-13,3219.68,3224.68,3208.1,3221.18
2025-04-14,3220.91,3245.6,3193.5,3212.15
2025-04-15,3212.0,3242.05,3209.9,3241.18
2025-04-16,3241.33,3357.7,3238.25,3350.89
2025-04-17,3350.9,3356.18,3283.75,3327.45
2025-04-20,3331.43,3352.9,3326.08,3345.78
2025-04-21,3346.13,3435.8,3343.22,3430.94
2025-04-22,3431.15,3500.04,3315.01,3327.73
2025-04-23,3328.08,3386.45,3260.05,3309.01
2025-04-24,3309.2,3370.3,3306.63,3366.89
2025-04-25,3366.78,3368.05,3265.03,3319.27
2025-04-27,3329.1,3331.13,3308.98,3310.5
2025-04-28,3310.55,3352.95,3267.73,3337.85
2025-04-29,3337.6,3342.82,3299.48,3318.9
2025-04-30,3318.85,3328.04,3266.85,3273.8
2025-05-01,3274.15,3285.26,3201.87,3237.8
2025-05-02,3237.85,3269.05,3222.66,3240.26
2025-05-04,3239.72,3244.18,3237.4,3239.48
2025-05-05,3239.83,3337.98,3238.7,3330.7
2025-05-06,3330.72,3434.96,3323.0,3381.65
2025-05-07,3381.87,3404.7,3360.03,3369.82
2025-05-08,3369.85,3414.55,3288.6,3323.65
2025-05-09,3323.5,3347.38,3274.46,3324.42
2025-05-11,3286.88,3292.45,3266.78,3272.5
2025-05-12,3272.1,3289.96,3207.63,3233.72
2025-05-13,3233.7,3265.4,3215.76,3254.35
2025-05-14,3254.3,3257.08,3167.85,3182.53
2025-05-15,3182.58,3251.93,3120.75,3251.04
2025-05-16,3250.99,3251.07,3154.08,3202.03
2025-05-18,3211.68,3240.63,3204.82,3239.0
2025-05-19,3239.2,3249.73,3206.53,3226.73
2025-05-20,3226.83,3303.93,3204.38,3296.68
2025-05-21,3296.6,3324.93,3285.25,3317.88
2025-05-22,3317.93,3345.33,3279.58,3297.5
2025-05-23,3297.6,3366.06,3286.98,3357.75
2025-05-25,3353.35,3355.98,3341.1,3344.1
2025-05-26,3344.3,3356.75,3323.28,3347.52
2025-05-27,3347.57,3349.93,3285.23,3303.13
2025-05-28,3303.53,3325.41,3276.21,3286.38
2025-05-29,3286.58,3330.9,3245.43,3314.22
2025-05-30,3314.48,3322.63,3271.41,3289.1
2025-06-01,3298.7,3315.05,3298.1,3312.95
2025-06-02,3312.75,3391.2,3301.25,3389.88
2025-06-03,3389.68,3392.06,3333.03,3356.92
2025-06-04,3356.97,3384.63,3343.68,3373.36
2025-06-05,3373.45,3403.39,3339.25,3358.9
2025-06-06,3358.85,3375.43,3306.93,3310.13
2025-06-08,3315.58,3321.14,3309.03,3314.69
2025-06-09,3314.63,3338.17,3293.5,3323.33
2025-06-10,3323.43,3349.07,3301.65,3324.3
2025-06-11,3324.35,3369.68,3315.35,3368.83
2025-06-12,3368.93,3398.72,3338.63,3383.43
2025-06-13,3383.33,3446.75,3382.53,3432.25
2025-06-15,3442.13,3450.99,3436.8,3448.23
2025-06-16,3448.38,3451.13,3382.58,3395.5
2025-06-17,3395.45,3403.23,3365.93,3388.58
2025-06-18,3388.93,3400.01,3362.53,3375.1
2025-06-19,3375.05,3387.83,3347.4,3365.58
2025-06-20,3365.63,3374.38,3340.28,3368.45
2025-06-22,3380.03,3388.83,3372.18,3378.93
2025-06-23,3378.88,3393.48,3346.85,3355.28
2025-06-24,3355.33,3357.88,3295.31,3321.43
2025-06-25,3321.73,3337.07,3311.88,3333.1
2025-06-26,3333.06,3350.18,3309.78,3321.33
2025-06-27,3321.38,3323.63,3255.92,3274.03
2025-06-29,3277.3,3277.4,3247.28,3263.63
2025-06-30,3264.38,3314.58,3259.33,3311.23
2025-07-01,3311.38,3357.94,3308.43,3341.38
2025-07-02,3341.63,3365.5,3327.43,3361.8
2025-07-03,3361.85,3363.58,3311.38,3328.9
2025-07-04,3328.85,3345.03,3325.68,3337.13
2025-07-06,3337.23,3342.55,3332.28,3333.23
2025-07-07,3333.38,3345.78,3296.36,3339.73
2025-07-08,3339.68,3339.98,3286.88,3301.31
2025-07-09,3301.41,3321.08,3282.56,3319.58
2025-07-10,3319.43,3330.2,3309.88,3323.05
2025-07-11,3322.7,3368.4,3322.7,3355.81
2025-07-13,3364.25,3371.1,3357.5,3369.23
2025-07-14,3369.33,3374.85,3340.96,3345.33
2025-07-15,3345.08,3366.47,3319.85,3326.25
2025-07-16,3326.43,3377.11,3319.51,3349.4
2025-07-17,3349.23,3350.14,3309.78,3342.93
2025-07-18,3342.83,3361.27,3331.88,3349.7
2025-07-20,3349.14,3350.35,3344.72,3347.74
2025-07-21,3347.59,3401.56,3345.23,3399.38
2025-07-22,3399.63,3433.56,3383.29,3427.98
2025-07-23,3428.03,3438.98,3381.35,3386.85
2025-07-24,3386.9,3393.22,3351.44,3368.39
2025-07-25,3368.24,3373.47,3324.71,3337.75
2025-07-27,3324.87,3335.32,3323.15,3329.67
2025-07-28,3329.62,3345.36,3301.33,3314.72
2025-07-29,3314.62,3334.15,3307.57,3327.28
2025-07-30,3327.63,3333.8,3268.15,3279.03
2025-07-31,3279.08,3314.83,3277.59,3295.07
2025-08-01,3295.02,3363.61,3281.55,3362.46
2025-08-03,3365.17,3365.6,3357.09,3359.2
2025-08-04,3359.25,3385.39,3344.82,3374.54
2025-08-05,3374.65,3390.52,3349.5,3379.79
2025-08-06,3379.69,3385.4,3358.07,3372.07
2025-08-07,3372.05,3408.6,3365.52,3402.77
2025-08-08,3402.7,3405.17,3377.45,3398.66
2025-08-10,3404.16,3404.92,3389.72,3395.23
2025-08-11,3395.12,3396.91,3341.2,3347.09
2025-08-12,3346.99,3359.27,3330.88,3350.23
2025-08-13,3350.52,3370.72,3342.51,3357.56
2025-08-14,3357.58,3374.87,3329.64,3333.1
2025-08-15,3333.08,3348.78,3331.8,3335.73
2025-08-17,3335.4,3335.41,3331.32,3334.01
2025-08-18,3333.97,3358.25,3323.35,3334.26
2025-08-19,3334.31,3345.29,3314.68,3316.91
2025-08-20,3316.86,3352.18,3311.48,3349.71
2025-08-21,3349.65,3349.65,3325.26,3338.73
